person_age,person_gender,person_education,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,predicted_loan_status
3.5,0,1,-0.395095564,3.142857143,-0.331034483,-0.543820225,0,1.4,0.264705882,-1,0,0,-1,1,0,0,0,0,0
1.166666667,-1,0,-0.613239916,0.714285714,-0.206896552,-0.566292135,0.416666667,1.2,0.838235294,0,0,0,0,0,0,0,0,0,0
-0.166666667,0,0,0.290969038,-0.285714286,0.551724138,-0.31011236,0.25,0,-0.058823529,-1,0,0,-1,0,0,0,0,0,0
0,0,-0.5,1.10821699,-0.142857143,0.165517241,-1.119101124,-0.333333333,-0.2,0.544117647,-1,0,0,-1,0,0,0,0,1,0
-0.333333333,0,1,0.391983927,-0.571428571,-0.413793103,0.887640449,-0.5,-0.2,0.338235294,-1,0,0,-1,0,0,0,0,0,1
-0.5,-1,0.5,0.246870331,-0.571428571,-0.275862069,0.220224719,-0.333333333,-0.4,-0.191176471,0,0,0,0,1,0,0,0,0,0
-0.333333333,0,0.5,0.550162279,-0.571428571,-0.162482759,-0.058426966,-0.416666667,0,-0.470588235,0,0,0,0,0,0,0,0,1,0
0.5,-1,0.5,0.011581062,0.285714286,0.551724138,-0.703370787,0.5,0.8,0.426470588,-1,0,0,0,0,0,0,0,0,0
-0.333333333,0,0,3.460347226,-0.285714286,-0.413793103,-0.474157303,-0.833333333,-0.2,0.926470588,-1,0,0,-1,0,0,1,0,0,0
0.166666667,-1,0,1.733841636,0.142857143,2.206896552,-0.921348315,0.333333333,0.8,0.294117647,-1,0,0,-1,0,1,0,0,0,0
-0.166666667,0,0.5,-0.329854206,-0.285714286,-0.662068966,1.053932584,-0.5,-0.4,-0.323529412,-1,0,0,0,0,0,1,0,0,1
1.166666667,0,0.5,-0.411416207,0.714285714,-0.75062069,1.098876404,-0.583333333,0.4,-0.102941176,-1,0,0,-1,0,0,0,1,0,1
-0.666666667,-1,0.5,-0.628798104,-0.285714286,-0.413793103,0.024719101,0.166666667,-0.2,-2.426470588,-1,0,0,0,1,0,0,0,0,1
0.5,-1,-0.5,-0.775848746,0.714285714,-0.965517241,-0.229213483,-0.75,0.6,-0.382352941,0,0,0,0,0,0,1,0,0,0
0.833333333,-1,1,0.694492813,0.285714286,-0.068965517,0,-0.416666667,1.2,-1.220588235,0,0,0,-1,0,0,1,0,0,0
-0.166666667,-1,-0.5,0.196836845,-0.428571429,-0.689655172,0.552808989,-0.666666667,-0.4,0.382352941,0,0,0,-1,1,0,0,0,0,0
-0.166666667,0,0,0.265107413,-0.285714286,0.965517241,-0.791011236,0.583333333,0,0.014705882,0,0,1,-1,0,0,0,1,0,0
-0.333333333,-1,0,0.521456906,-0.571428571,0.965517241,0.364044944,0.333333333,-0.2,-1.867647059,-1,0,0,-1,1,0,0,0,0,1
-0.166666667,-1,0,-0.469321519,-0.142857143,0.965517241,0.907865169,1.833333333,-0.4,-0.397058824,-1,0,0,0,0,0,0,0,0,1
-0.5,-1,0.5,-1.038009376,-0.428571429,-0.764551724,0.42247191,0.25,0,-0.058823529,-1,0,0,0,0,0,0,0,1,1
0.333333333,0,0.5,-0.564422235,0,0.308137931,-0.820224719,1.166666667,0.8,-0.367647059,-1,0,0,0,0,0,1,0,0,1
-0.666666667,0,0,-0.762990057,-0.571428571,-0.482758621,0.107865169,0.25,-0.4,0.117647059,-1,0,0,0,1,0,0,0,0,0
0.5,-1,0.5,0.371954047,0.285714286,0.275862069,0,0,0.8,0.588235294,-1,0,0,0,0,1,0,0,0,0
4,0,0.5,-0.233269795,3.142857143,-0.413793103,-0.698876404,-0.25,2.4,0.691176471,-1,0,0,-1,0,0,0,1,0,0
-0.666666667,-1,0,0.145690588,-0.571428571,-0.275862069,0,-0.333333333,0,-0.794117647,0,0,0,0,1,0,0,0,0,0
0,-1,0.5,-0.057184071,0.142857143,-0.551724138,0.197752809,-0.5,0,0.264705882,-1,0,0,-1,0,0,1,0,0,0
-0.333333333,0,1,-0.015908505,0.142857143,0,-0.534831461,0,0,-0.205882353,-1,0,0,-1,0,0,0,1,0,0
1.666666667,0,0,0.618659523,1.571428571,0.275862069,-0.986516854,-0.166666667,2,0.308823529,0,0,0,-1,0,0,0,0,1,0
1.666666667,-1,0.5,0.488959868,1.285714286,0.275862069,0.166292135,-0.083333333,1.6,0.823529412,0,0,0,-1,0,1,0,0,0,0
-0.5,-1,0.5,0.369872753,-0.285714286,-0.44137931,0,-0.5,-0.4,-0.911764706,0,0,0,0,0,0,0,1,0,0
0,-1,1,0.317654938,0,2.24137931,0.262921348,1.416666667,0,0.911764706,0,0,1,-1,0,0,0,1,0,0
-0.5,0,-0.5,-0.417598269,-0.571428571,0.055172414,0.626966292,0.5,-0.4,0.661764706,0,0,1,-1,0,0,0,0,1,0
-0.166666667,0,-0.5,-0.00032971,-0.285714286,-0.551724138,-0.548314607,-0.5,-0.2,-0.573529412,0,0,0,0,1,0,0,0,0,0
1,-1,-0.5,-0.275101746,0.428571429,0,-0.15505618,0.25,1.2,0.117647059,0,0,0,0,0,0,1,0,0,0
0.5,0,0,0.613363557,0.714285714,1.931034483,-0.094382022,0.916666667,1.2,0.485294118,-1,0,0,-1,0,0,1,0,0,0
-0.5,0,0.5,0.147421565,-0.285714286,0.275862069,-0.703370787,0.083333333,-0.2,-0.838235294,0,0,0,-1,0,0,0,0,0,0
-0.5,-1,-0.5,0.918757406,-0.285714286,-0.153517241,0.274157303,-0.5,0,-0.926470588,0,0,0,0,0,0,0,0,1,0
-0.833333333,0,0.5,-0.350481686,-0.571428571,-0.413793103,-0.734831461,-0.166666667,-0.2,0.558823529,0,0,1,-1,0,0,0,1,0,0
0,0,0.5,-0.618103137,0.142857143,-0.551724138,0.73258427,-0.083333333,-0.4,0.485294118,-1,0,0,0,0,0,1,0,0,1
0.5,0,0.5,1.507001185,0.571428571,2.339586207,0.534831461,0.5,0.8,0.691176471,-1,0,0,-1,0,0,0,1,0,0
-0.333333333,-1,0,0.98059863,-0.285714286,0.275862069,-0.080898876,-0.25,0,-0.720588235,0,0,0,-1,0,1,0,0,0,0
0.833333333,-1,1,0.615403637,0.285714286,0.275862069,0,-0.166666667,0.2,-0.544117647,0,0,0,-1,0,0,1,0,0,0
-0.666666667,-1,-0.5,0.112410489,-0.571428571,0.44137931,-1.173033708,0.25,0,-1.088235294,-1,0,0,-1,0,0,0,0,1,0
-0.5,-1,0.5,-0.333893153,-0.285714286,-0.088827586,0.22247191,0.166666667,-0.2,-0.691176471,0,0,0,0,1,0,0,0,0,0
-0.333333333,-1,0,0.363814332,0.142857143,0,0.433707865,-0.25,0,-0.764705882,0,0,0,0,0,0,0,0,0,0
-0.166666667,0,1,0.741868013,-0.428571429,0.965517241,-0.633707865,0.25,0,0.176470588,0,0,0,0,0,0,0,0,1,0
1.333333333,0,0.5,-0.83637113,0.857142857,-0.413793103,0.548314607,0.583333333,0.8,0.426470588,-1,0,0,0,0,1,0,0,0,1
-0.5,-1,0.5,0.523476379,-0.571428571,0.137931034,0,-0.166666667,-0.2,-0.088235294,-1,0,0,-1,0,0,0,0,0,0
1.333333333,0,0.5,0.422749987,1.285714286,1.655172414,0.197752809,0.916666667,1.2,1.397058824,-1,0,0,0,0,0,0,0,1,0
0,0,0.5,1.973726238,0.428571429,2.206896552,0.44494382,0.25,-0.4,0.970588235,0,0,0,-1,0,0,0,0,0,0
-0.333333333,-1,-0.5,-0.104105919,-0.428571429,0.252413793,-0.323595506,0.333333333,-0.2,0.191176471,0,0,0,0,0,1,0,0,0,0
-0.833333333,-1,0,-0.474473237,-0.571428571,0,-0.379775281,0.5,-0.2,-0.838235294,-1,0,0,-1,0,0,0,0,0,0
-0.666666667,0,1,-1.063190974,-0.428571429,-0.275862069,-0.478651685,2.25,0,1,-1,0,0,0,0,0,0,0,0,1
2.833333333,-1,-0.5,0.00098913,1.714285714,0.517241379,-0.004494382,0.5,2.6,0.529411765,0,0,0,-1,0,0,0,0,0,0
-0.5,-1,-0.5,-0.36896605,-0.285714286,0.275862069,0.384269663,0.666666667,-0.4,-0.838235294,-1,1,0,-1,1,0,0,0,0,0
-0.333333333,0,0.5,0.019761991,-0.571428571,0.965517241,0.417977528,0.833333333,-0.4,-0.676470588,0,0,0,0,0,0,0,0,0,0
-0.333333333,0,0.5,1.437020246,-0.571428571,0.302206897,-0.206741573,-0.416666667,-0.2,-0.367647059,-1,0,0,0,0,0,0,1,0,0
0.333333333,0,0,-0.865612282,-0.142857143,0.275862069,0,2.333333333,0.6,-0.25,-1,0,1,-1,0,0,1,0,0,0
-0.666666667,-1,0,0.728741435,-0.571428571,0.551724138,-0.921348315,0,-0.2,0.117647059,0,0,0,-1,0,0,0,0,1,0
-0.166666667,0,0.5,0.020998403,-0.428571429,-0.620689655,0.71011236,-0.583333333,-0.2,0.764705882,0,0,0,-1,0,0,1,0,0,0
-0.666666667,-1,0,-0.492792746,-0.428571429,-0.275862069,0,0.166666667,-0.4,0.264705882,0,0,0,0,1,0,0,0,0,0
0.5,-1,0.5,-0.243573232,0.285714286,0.275862069,0,0.5,0.2,0.323529412,-1,0,0,0,0,0,1,0,0,0
0.666666667,0,0.5,1.286940395,0.571428571,-0.75862069,-0.051685393,-0.833333333,0.4,0.426470588,-1,0,0,-1,0,0,0,0,0,0
0.666666667,-1,0,0.843006543,0.571428571,2.878482759,-0.683146067,1.25,0.6,-0.558823529,-1,0,0,0,0,0,0,0,0,1
-0.333333333,0,0,1.028282932,-0.571428571,0.827586207,1.388764045,0,0,0.220588235,0,0,0,-1,1,0,0,0,0,0
-0.166666667,0,1,1.43535109,0.285714286,2.344827586,0.134831461,0.5,0.4,0.264705882,-1,0,0,-1,0,0,0,1,0,0
-0.166666667,-1,0,-0.377414868,-0.285714286,-0.482758621,-0.004494382,-0.25,-0.2,-1.235294118,0,0,0,-1,0,0,0,1,0,0
-0.5,0,0.5,-0.128277781,-0.571428571,-0.275862069,0.191011236,-0.166666667,-0.2,-0.588235294,0,0,0,0,0,0,1,0,0,0
0.666666667,-1,0,0.121106589,0.285714286,0,-0.752808989,-0.083333333,0.4,-0.367647059,-1,0,0,0,0,1,0,0,0,0
-0.166666667,-1,-0.5,1.015444851,0,-0.551724138,-0.253932584,-0.75,-0.2,-1.75,0,0,1,-1,1,0,0,0,0,0
2,-1,0,1.854268198,1.571428571,0.413793103,-0.060674157,-0.416666667,1.4,0.205882353,-1,0,0,-1,0,0,0,0,0,0
-0.333333333,0,-0.5,-0.12887538,0.142857143,0,-0.685393258,0.083333333,0,-1.176470588,0,0,0,0,1,0,0,0,0,0
-0.166666667,0,0.5,0.370120035,-0.142857143,0.551724138,-0.474157303,0.166666667,-0.4,-0.352941176,0,0,0,0,0,0,0,0,1,0
0,-1,1.5,1.527463809,-0.285714286,-0.275862069,-0.786516854,-0.666666667,0,-0.941176471,-1,0,0,-1,0,1,0,0,0,0
-0.833333333,0,-0.5,-0.127082582,-0.571428571,0.551724138,0.157303371,0.666666667,-0.2,-1.617647059,0,0,0,0,0,0,0,1,0,0
-0.666666667,-1,0.5,-0.025902839,-0.285714286,-0.662068966,1.231460674,-0.583333333,0,0.588235294,-1,0,0,0,0,1,0,0,0,1
-0.5,-1,0.5,1.759682654,-0.571428571,-0.660413793,0.847191011,-0.833333333,-0.2,0.617647059,-1,0,0,-1,1,0,0,0,0,0
-0.5,-1,-0.5,-0.559826902,-0.428571429,0.593103448,0,1.583333333,-0.2,-1.514705882,-1,0,0,0,1,0,0,0,0,1
-0.166666667,-1,0.5,-0.291916954,-0.285714286,-0.689655172,0.626966292,-0.5,-0.2,1.25,0,0,0,0,0,0,0,1,0,0
0.5,0,0.5,-0.252001442,0.142857143,-0.068965517,0,0.166666667,0.2,0.176470588,0,0,0,0,1,0,0,0,0,0
-0.333333333,0,1,0.087579208,0.142857143,-0.234482759,0.876404494,-0.25,-0.4,0.264705882,-1,0,0,0,0,0,1,0,0,1
-0.166666667,-1,0,-0.398310236,0.285714286,1.103448276,1.206741573,1.75,-0.2,-0.161764706,-1,0,0,0,0,0,0,0,1,1
-0.666666667,-1,-0.5,-0.59766112,-0.571428571,-0.95862069,-0.786516854,-0.75,0,-0.867647059,-1,0,0,-1,0,0,0,0,0,1
1.833333333,-1,-0.5,1.583638143,1.714285714,-0.390482759,-0.02247191,-0.666666667,1.2,-0.338235294,0,0,0,-1,0,0,0,1,0,0
-0.666666667,0,-0.5,-0.488980475,-0.571428571,-0.414896552,-0.002247191,0,-0.2,-1.661764706,0,0,0,0,0,0,1,0,0,0
2.5,0,-0.5,2.062294575,1.857142857,2.068965517,0.887640449,0.166666667,1.6,-0.985294118,-1,0,0,-1,0,0,1,0,0,1
-0.666666667,0,0,0.023553655,-0.428571429,2.344827586,1.211235955,2.083333333,-0.2,-0.117647059,-1,0,0,-1,0,0,0,1,0,1
0,-1,1,0.497346865,0.285714286,0.220689655,-1.256179775,-0.083333333,-0.2,0.058823529,0,0,0,-1,1,0,0,0,0,0
-0.666666667,0,-0.5,-0.623316676,-0.571428571,-0.413793103,-0.478651685,0.166666667,-0.2,-0.382352941,-1,0,0,0,0,1,0,0,0,1
1,0,0,-1.067250528,0.714285714,-0.265517241,0.316853933,2.333333333,0.8,0.308823529,-1,0,0,0,0,0,0,0,0,1
1.666666667,0,0,-0.577116068,1.285714286,-0.606896552,0.557303371,-0.25,1.4,-0.279411765,0,0,1,-1,1,0,0,0,0,0
-0.5,0,-0.5,-0.86773479,-0.142857143,-0.896551724,-0.312359551,-0.5,-0.2,0.441176471,0,0,0,0,0,0,0,0,0,0
-0.5,-1,0,-0.24878677,-0.571428571,0.265517241,0.105617978,0.5,-0.4,-0.705882353,0,0,0,-1,1,0,0,0,0,0
-0.166666667,0,0.5,0.033135851,0.142857143,-0.574068966,0.903370787,-0.5,-0.2,0.044117647,-1,0,0,0,0,0,0,0,0,1
0.166666667,-1,-0.5,-0.251671733,0.142857143,1.379310345,0.483146067,1.75,0.6,-0.426470588,-1,0,0,0,0,0,0,1,0,1
0.5,0,0.5,0.162237906,0.714285714,0.275862069,0.314606742,0.083333333,1,-0.941176471,0,0,0,-1,0,0,0,1,0,0
0.333333333,-1,-0.5,0.236525681,0.285714286,-0.902896552,-0.287640449,-0.833333333,0.4,-0.058823529,-1,0,0,-1,0,0,0,1,0,0
0.833333333,-1,-0.5,-0.621565092,0.571428571,-0.110344828,0.105617978,0.583333333,0.4,-0.764705882,0,0,0,0,0,0,0,0,1,0
-0.166666667,0,-0.5,2.965844109,0.142857143,0.275862069,0.907865169,-0.583333333,0,-0.132352941,0,0,0,-1,0,1,0,0,0,0
-0.833333333,0,-0.5,-0.7385297,-0.571428571,-0.275862069,-0.791011236,0.583333333,-0.2,-2.794117647,0,0,0,0,1,0,0,0,0,0
0.5,-1,-0.5,-1.062490341,0.571428571,-0.482758621,0.907865169,1.416666667,1,-0.308823529,-1,0,0,0,1,0,0,0,0,1
2.5,-1,-0.5,-0.414795734,2.285714286,0.120689655,1.802247191,0.583333333,1.4,0.852941176,0,0,0,0,0,0,1,0,0,0
1,-1,-0.5,2.466436557,1,0,0,-0.666666667,0.4,0.632352941,-1,0,0,-1,0,0,1,0,0,0
1.166666667,0,0,-0.644335686,1.285714286,0.275862069,0.460674157,1.333333333,1,0.25,-1,0,0,0,0,0,0,0,1,1
-0.333333333,0,0.5,1.006707537,-0.285714286,1.296551724,-0.143820225,0.25,-0.4,-0.308823529,0,0,0,0,0,0,0,0,0,0
0.5,0,0,-0.624243985,0.285714286,-0.827586207,-0.058426966,-0.583333333,0.6,-0.470588235,-1,0,0,0,0,0,0,0,0,0
0,0,-0.5,-0.119767142,0,0.551724138,-0.566292135,0.666666667,0,0.205882353,0,0,1,-1,0,0,1,0,0,0
0.833333333,-1,1,-0.005543249,1,0.275862069,-0.550561798,0.25,1.2,-0.25,0,0,0,0,0,0,0,0,0,0
-0.5,0,0,-0.390149915,-0.571428571,-0.275862069,1.119101124,0,-0.2,-0.705882353,-1,0,0,0,0,0,0,0,0,1
0,-1,-0.5,0.987625573,-0.142857143,0.827586207,-1.119101124,0,0,0.544117647,0,0,0,-1,0,0,0,0,0,0
-0.833333333,0,-0.5,-0.445355726,-0.571428571,-0.068965517,0.860674157,0.333333333,-0.4,0.264705882,-1,0,0,0,0,1,0,0,0,1
0,-1,0,-0.317757972,-0.285714286,-0.620689655,0.359550562,-0.416666667,0,-0.647058824,0,0,0,0,1,0,0,0,0,0
-0.666666667,0,0.5,-0.507794549,-0.428571429,-0.068965517,0.907865169,0.5,-0.4,0.617647059,-1,0,0,0,0,0,0,0,0,1
-0.166666667,-1,0.5,0.121374478,0.142857143,0.689655172,0.71011236,0.5,-0.2,0.75,-1,0,0,-1,0,0,1,0,0,0
1.166666667,0,-0.5,-0.275781773,1.285714286,-0.482758621,0.838202247,-0.333333333,1.2,0.058823529,-1,0,0,-1,0,0,0,0,0,1
2.666666667,0,0,-0.564813765,2.285714286,0.275862069,-0.141573034,1.083333333,2.2,0.735294118,-1,0,0,0,0,0,0,0,1,1
-0.5,0,0,-0.289856267,-0.571428571,0.337931034,0.575280899,0.666666667,-0.2,-0.323529412,-1,0,0,0,0,0,0,1,0,0
0.333333333,-1,-0.5,1.109123693,0.428571429,1.379310345,0.651685393,0.25,1,-2.044117647,0,0,0,0,0,0,1,0,0,0
-0.166666667,-1,1,-0.884859101,0.285714286,-0.551724138,0,0.416666667,-0.2,0.132352941,-1,0,0,0,0,0,0,0,0,1
-0.166666667,0,0,-0.767214466,-0.571428571,0.220689655,0.157303371,1.666666667,-0.2,-0.617647059,-1,0,0,0,0,0,0,1,0,1
1.5,0,0.5,-0.741435269,1.428571429,0,-0.786516854,1.166666667,0.6,0.955882353,-1,0,0,0,0,0,1,0,0,1
0.5,0,0.5,0.323260007,0.142857143,0.275862069,-0.080898876,0,0.2,-0.161764706,0,0,0,0,1,0,0,0,0,0
-0.5,0,0.5,-0.763134305,-0.571428571,-0.913793103,0.02247191,-0.583333333,0,-1.970588235,-1,0,0,-1,0,0,1,0,0,1
0,0,1,-0.273061666,0,-0.482758621,-0.734831461,-0.333333333,-0.2,0.941176471,0,0,0,0,0,0,1,0,0,0
0.333333333,0,1,0.005295966,0.142857143,-0.689655172,0.159550562,-0.666666667,1.2,-0.441176471,0,0,0,-1,0,0,0,0,1,0
-0.833333333,-1,1,0.117459173,-0.571428571,0,0.056179775,-0.083333333,-0.2,0.691176471,-1,0,0,0,1,0,0,0,0,0
-0.833333333,-1,0,-0.8293854,-0.571428571,-0.620689655,-0.786516854,0.083333333,-0.4,-0.191176471,0,0,0,0,0,0,0,0,0,0
-0.5,0,0,-0.625109474,-0.571428571,0,-1.175280899,0.833333333,0,-0.941176471,0,0,0,-1,0,1,0,0,0,0
0.166666667,-1,-0.5,0.342383185,-0.142857143,-0.75862069,-0.869662921,-0.75,0.8,-0.397058824,0,0,0,0,0,0,0,0,1,0
0.333333333,-1,1,0.061119984,0,2.068965517,0,1.75,0.6,-2.044117647,0,0,0,-1,1,0,0,0,0,0
-0.166666667,0,0.5,-0.512884447,0.285714286,-0.827586207,-0.752808989,-0.583333333,0,-0.382352941,-1,0,0,-1,0,0,0,0,0,0
-0.333333333,-1,-0.5,0.12590799,-0.428571429,1.655172414,0.029213483,1.25,-0.4,-1.529411765,-1,0,0,0,0,0,0,1,0,1
2.5,0,0,0.081067436,2.428571429,-0.117241379,1.119101124,-0.166666667,2.4,0.897058824,-1,0,0,0,0,0,0,1,0,1
-0.333333333,0,-0.5,-0.653237855,-0.428571429,-0.275862069,-0.229213483,0.416666667,-0.2,-0.529411765,0,0,0,-1,0,0,1,0,0,0
1.333333333,-1,0.5,0.899860904,1.142857143,0.551724138,-0.919101124,-0.083333333,0.6,0.264705882,0,0,0,0,0,0,1,0,0,0
0.333333333,0,0,0.580887126,0.571428571,0.827586207,0.078651685,0.25,1.2,-0.852941176,0,0,1,-1,0,0,0,0,1,0
0.333333333,0,-0.5,1.181598063,0.428571429,0.275862069,-0.564044944,-0.333333333,1.2,0.073529412,0,0,0,-1,0,0,0,0,1,0
0.5,-1,1,1.163484622,0.714285714,-0.275862069,-0.703370787,-0.583333333,1,0.352941176,0,0,0,-1,0,0,1,0,0,0
0,0,0,-0.013167791,0.285714286,0.275862069,-0.465168539,0.25,-0.2,0.764705882,0,0,0,-1,0,1,0,0,0,0
1,0,1,0.494667972,0.571428571,0.275862069,0.197752809,-0.083333333,0.2,0.088235294,-1,0,0,-1,1,0,0,0,0,0
-0.833333333,0,0,-0.325258874,-0.428571429,-0.75862069,-0.835955056,-0.583333333,0,0.602941176,0,0,0,-1,0,0,0,0,0,0
0.333333333,-1,0.5,0.367111432,0.285714286,-0.331034483,-0.986516854,-0.416666667,0.2,1.132352941,0,0,0,-1,0,0,0,0,1,0
2.5,0,-0.5,-0.123929731,1.857142857,-0.275862069,-0.478651685,-0.166666667,2.6,0.514705882,0,0,0,0,0,0,0,1,0,0
-0.333333333,0,0,0.116573077,-0.285714286,-0.206896552,-0.712359551,-0.25,-0.2,0.117647059,-1,0,0,0,0,0,0,0,0,0
-0.333333333,0,1,0.736242337,-0.571428571,0.551724138,0.029213483,0,-0.2,-0.132352941,0,0,0,-1,0,1,0,0,0,0
0,0,-0.5,0.649240122,-0.428571429,0.051172414,-0.323595506,-0.333333333,0.4,0.235294118,0,0,0,0,0,0,0,1,0,0
0.166666667,0,0.5,1.17727062,0.428571429,-0.841241379,-0.417977528,-0.833333333,0.8,-0.558823529,-1,0,0,0,0,1,0,0,0,0
1.166666667,-1,1,-0.276667869,1,0,1.456179775,0.25,0.8,0.764705882,-1,0,0,0,0,0,0,0,1,1
0,-1,0,-0.000741847,0.142857143,0.344827586,-1.173033708,0.333333333,-0.4,0.720588235,0,0,0,-1,0,0,0,0,0,0
1.833333333,0,0.5,-0.247241255,0.857142857,-0.275862069,0.359550562,-0.083333333,2.6,0.794117647,0,0,0,0,1,0,0,0,0,0
-0.166666667,-1,0,0.004245016,0.142857143,0,-0.397752809,0,0.2,-0.235294118,0,0,0,-1,1,0,0,0,0,0
